unique_id,first_trial,door,object,response,recording,date,community,name,gender,age,schooling,subject_num,recording_num,comments,other
080818_Limoncito_20,no_cost,low_cost,chair,leave,NA,8/8/2018,Limoncito,X,M,22,9,20,21,3 secondary,NA
080818_Limoncito_20,no_cost,no_cost,plant,leave,NA,8/8/2018,Limoncito,X,M,22,9,20,21,3 secondary,NA
080818_Limoncito_21,no_cost,low_cost,plant,leave,NA,8/8/2018,Limoncito,X,F,39,4,21,22,NA,NA
080818_Limoncito_21,no_cost,no_cost,cinderblocks,enter,NA,8/8/2018,Limoncito,X,F,39,4,21,22,NA,NA
080818_Limoncito_22,no_cost,low_cost,chair,leave,NA,8/8/2018,Limoncito,X,F,36,4,22,23,NA,NA
080818_Limoncito_22,no_cost,no_cost,plant,leave,NA,8/8/2018,Limoncito,X,F,36,4,22,23,NA,NA
080818_Limoncito_23,no_cost,low_cost,chair,leave,NA,8/8/2018,Limoncito,X,M,25,3,23,25,3rd primary,NA
080818_Limoncito_23,no_cost,no_cost,plant,leave,NA,8/8/2018,Limoncito,X,M,25,3,23,25,3rd primary,NA
080818_Limoncito_24,no_cost,low_cost,cinderblocks,leave,NA,8/8/2018,Limoncito,X,F,24,4,24,28,4th primary,NA
080818_Limoncito_24,no_cost,no_cost,chair,enter,NA,8/8/2018,Limoncito,X,F,24,4,24,28,4th primary,NA
080818_Limoncito_25,no_cost,low_cost,plant,leave,NA,8/8/2018,Limoncito,X,F,35,0,25,31,NA,NA
080818_Limoncito_25,no_cost,no_cost,chair,enter,NA,8/8/2018,Limoncito,X,F,35,0,25,31,NA,NA
080818_Limoncito_26,no_cost,low_cost,chair,leave,NA,8/8/2018,Limoncito,X,F,22,5,26,8,5 primaria,NA
080818_Limoncito_26,no_cost,no_cost,cinderblocks,enter,NA,8/8/2018,Limoncito,X,F,22,5,26,8,5 primaria,NA
080818_Limoncito_27,low_cost,low_cost,chair,leave,NA,8/8/2018,Limoncito,X,M,24,12,27,11,NA,NA
080818_Limoncito_27,low_cost,no_cost,cinderblocks,enter,NA,8/8/2018,Limoncito,X,M,24,12,27,11,NA,NA
080818_Limoncito_28,low_cost,low_cost,cinderblocks,leave,NA,8/8/2018,Limoncito,X,M,22,7,28,13,1 secundaria,NA
080818_Limoncito_28,low_cost,no_cost,plant,enter,NA,8/8/2018,Limoncito,X,M,22,7,28,13,1 secundaria,NA
080818_Limoncito_29,low_cost,low_cost,plant,enter,NA,8/8/2018,Limoncito,X,M,18,5,31,16,5 primaria; Subject number had a question mark,NA
080818_Limoncito_29,low_cost,no_cost,chair,enter,NA,8/8/2018,Limoncito,X,M,18,5,31,16,5 primaria; Subject number had a question mark,NA
080818_Limoncito_30,low_cost,low_cost,cinderblocks,leave,NA,8/8/2018,Limoncito,X,M,41,4,32,17,NA,NA
080818_Limoncito_30,low_cost,no_cost,plant,enter,NA,8/8/2018,Limoncito,X,M,41,4,32,17,NA,NA
080818_Limoncito_31,low_cost,low_cost,chair,leave,NA,8/8/2018,Limoncito,X,M,60,4,34,18,4 primaria,NA
080818_Limoncito_31,low_cost,no_cost,cinderblocks,enter,NA,8/8/2018,Limoncito,X,M,60,4,34,18,4 primaria,NA
080818_Limoncito_32,low_cost,low_cost,cinderblocks,leave,NA,8/8/2018,Limoncito,X,F,25,3,40,22,3 primaria,NA
080818_Limoncito_32,low_cost,no_cost,chair,enter,NA,8/8/2018,Limoncito,X,F,25,3,40,22,3 primaria,NA
080818_Limoncito_33,low_cost,low_cost,cinderblocks,leave,NA,8/8/2018,Limoncito,X,F,20,5,41,24,5 primaria,NA
080818_Limoncito_33,low_cost,no_cost,chair,enter,NA,8/8/2018,Limoncito,X,F,20,5,41,24,5 primaria,NA
080818_Limoncito_34,low_cost,low_cost,plant,leave,NA,8/8/2018,Limoncito,X,F,27,4,42,26,4 primaria,NA
080818_Limoncito_34,low_cost,no_cost,cinderblocks,leave,NA,8/8/2018,Limoncito,X,F,27,4,42,26,4 primaria,NA
080818_Limoncito_35,low_cost,low_cost,cinderblocks,leave,NA,8/8/2018,Limoncito,X,F,28,6,43,27,6 primaria,NA
080818_Limoncito_35,low_cost,no_cost,chair,leave,NA,8/8/2018,Limoncito,X,F,28,6,43,27,6 primaria,NA
080818_Limoncito_36,low_cost,low_cost,plant,leave,NA,8/8/2018,Limoncito,X,F,20,1,44,29,1 primaria,NA
080818_Limoncito_36,low_cost,no_cost,cinderblocks,leave,NA,8/8/2018,Limoncito,X,F,20,1,44,29,1 primaria,NA
080818_Limoncito_37,low_cost,low_cost,chair,leave,NA,8/8/2018,Limoncito,X,F,30,2,45,30,2 primaria,NA
080818_Limoncito_37,low_cost,no_cost,plant,enter,NA,8/8/2018,Limoncito,X,F,30,2,45,30,2 primaria,NA
080818_Limoncito_38,no_cost,low_cost,chair,leave,NA,8/8/2018,Limoncito,X,F,44,2,46,7,2 primaria,NA
080818_Limoncito_38,no_cost,no_cost,cinderblocks,enter,NA,8/8/2018,Limoncito,X,F,44,2,46,7,2 primaria,NA
080818_Limoncito_39,low_cost,low_cost,plant,leave,NA,8/8/2018,Limoncito,X,F,59,0,47,32,NA,NA
080818_Limoncito_39,low_cost,no_cost,cinderblocks,enter,NA,8/8/2018,Limoncito,X,F,59,0,47,32,NA,NA
080818_Limoncito_40,no_cost,low_cost,chair,enter,NA,8/8/2018,Limoncito,X,F,50,0,48,32,Recording stoppped halfway through,NA
080818_Limoncito_40,no_cost,no_cost,cinderblocks,enter,NA,8/8/2018,Limoncito,X,F,50,0,48,32,Recording stoppped halfway through,NA
080818_Limoncito_41,no_cost,low_cost,cinderblocks,enter,NA,8/8/2018,Limoncito,X,M,28,4,49,3,Recorder #2,NA
080818_Limoncito_41,no_cost,no_cost,plant,enter,NA,8/8/2018,Limoncito,X,M,28,4,49,3,Recorder #2,NA
080818_Limoncito_42,no_cost,low_cost,chair,enter,NA,8/8/2018,Limoncito,X,F,25,6,50,4,Recorder #2; 6 primaria,NA
080818_Limoncito_42,no_cost,no_cost,cinderblocks,enter,NA,8/8/2018,Limoncito,X,F,25,6,50,4,Recorder #2; 6 primaria,NA
080818_Limoncito_43,no_cost,low_cost,cinderblocks,leave,NA,8/8/2018,Limoncito,X,F,45,0,51,5,Recorder #2,NA
080818_Limoncito_43,no_cost,no_cost,plant,enter,NA,8/8/2018,Limoncito,X,F,45,0,51,5,Recorder #2,NA
080818_Limoncito_44,no_cost,low_cost,plant,leave,NA,8/8/2018,Limoncito,X,F,24,4,52,6,4 primaria,NA
080818_Limoncito_44,no_cost,no_cost,chair,enter,NA,8/8/2018,Limoncito,X,F,24,4,52,6,4 primaria,NA
080818_Limoncito_45,no_cost,low_cost,cinderblocks,leave,NA,8/8/2018,Limoncito,X,F,19,9,54,10,3 secundaria,NA
080818_Limoncito_45,no_cost,no_cost,plant,enter,NA,8/8/2018,Limoncito,X,F,19,9,54,10,3 secundaria,NA
080818_Limoncito_46,low_cost,low_cost,cinderblocks,leave,NA,8/8/2018,Limoncito,X,F,33,2,55,12,2 primaria,NA
080818_Limoncito_46,low_cost,no_cost,plant,enter,NA,8/8/2018,Limoncito,X,F,33,2,55,12,2 primaria,NA
080818_Limoncito_47,no_cost,low_cost,plant,leave,NA,8/8/2018,Limoncito,X,F,18,4,55,9,4 primaria,NA
080818_Limoncito_47,no_cost,no_cost,chair,enter,NA,8/8/2018,Limoncito,X,F,18,4,55,9,4 primaria,NA
080818_Limoncito_48,low_cost,low_cost,plant,leave,NA,8/8/2018,Limoncito,X,M,17,7,56,15,1 secundaria,NA
080818_Limoncito_48,low_cost,no_cost,chair,enter,NA,8/8/2018,Limoncito,X,M,17,7,56,15,1 secundaria,NA
080818_Limoncito_49,low_cost,low_cost,chair,leave,NA,8/8/2018,Limoncito,X,M,19,10,57/29,14,4to secundaria,NA
080818_Limoncito_49,low_cost,no_cost,cinderblocks,leave,NA,8/8/2018,Limoncito,X,M,19,10,57/29,14,4to secundaria,NA
081018_CampoBello_72,low_cost,low_cost,plant,leave,43,8/10/2018,Campo Bello,X,M,35,4,77,57,NA,NA
081018_CampoBello_72,low_cost,no_cost,cinderblocks,enter,43,8/10/2018,Campo Bello,X,M,35,4,77,57,NA,NA
081018_CampoBello_73,low_cost,low_cost,cinderblocks,leave,44,8/10/2018,Campo Bello,X,M,27,4,78,58,NA,NA
081018_CampoBello_73,low_cost,no_cost,chair,enter,44,8/10/2018,Campo Bello,X,M,27,4,78,58,NA,NA
081018_CampoBello_74,low_cost,low_cost,chair,leave,45,8/10/2018,Campo Bello,X,M,27,4,79,59,NA,NA
081018_CampoBello_74,low_cost,no_cost,plant,enter,45,8/10/2018,Campo Bello,X,M,27,4,79,59,NA,NA
081018_CampoBello_75,low_cost,low_cost,plant,leave,46,8/10/2018,Campo Bello,X,F,23,3,80,60,NA,NA
081018_CampoBello_75,low_cost,no_cost,cinderblocks,enter,46,8/10/2018,Campo Bello,X,F,23,3,80,60,NA,NA
081018_CampoBello_76,low_cost,low_cost,cinderblocks,leave,47,8/10/2018,Campo Bello,X,F,27,2,81,61,NA,NA
081018_CampoBello_76,low_cost,no_cost,chair,leave,47,8/10/2018,Campo Bello,X,F,27,2,81,61,NA,NA
081018_CampoBello_77,low_cost,low_cost,chair,leave,48,8/10/2018,Campo Bello,X,F,31,1,82,62,NA,NA
081018_CampoBello_77,low_cost,no_cost,plant,enter,48,8/10/2018,Campo Bello,X,F,31,1,82,62,NA,NA
081018_CampoBello_78,low_cost,low_cost,plant,leave,49,8/10/2018,Campo Bello,X,F,35,2,83,63,NA,NA
081018_CampoBello_78,low_cost,no_cost,cinderblocks,enter,49,8/10/2018,Campo Bello,X,F,35,2,83,63,NA,NA
081018_CampoBello_79,no_cost,low_cost,plant,leave,50,8/10/2018,Campo Bello,X,F,17,6,84,64,NA,NA
081018_CampoBello_79,no_cost,no_cost,chair,enter,50,8/10/2018,Campo Bello,X,F,17,6,84,64,NA,NA
081018_CampoBello_80,no_cost,low_cost,cinderblocks,leave,51,8/10/2018,Campo Bello,X,F,30,0,85,66,NA,NA
081018_CampoBello_80,no_cost,no_cost,plant,unsure,51,8/10/2018,Campo Bello,X,F,30,0,85,66,NA,NA
081018_CampoBello_81,no_cost,low_cost,chair,leave,52,8/10/2018,Campo Bello,X,F,22,3,86,67,NA,NA
081018_CampoBello_81,no_cost,no_cost,cinderblocks,unsure,52,8/10/2018,Campo Bello,X,F,22,3,86,67,NA,NA
081018_CampoBello_82,no_cost,low_cost,cinderblocks,leave,53,8/10/2018,Campo Bello,X,F,55,0,87,68,NA,NA
